record_id,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,1y average s1,1y average s2,1y average,2y average s1,2y average s2,2y average,3y average s1,3y average s2,3y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,4 forth,how do others feedbacks influence you,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin,year_ordinal,inferred_year_from_grades
37,Female,Second year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,4.0,2.0,You do not care about,5-7 hours,4.0,8.0,5.0,5.0,8.0,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,High,High,High,High,Moderate,Moderate,High,High,Moderate,,,,,,,,,,,,,,2,1.0
38,Female,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Teaching language,Private life problems,Lack of motivation,3.0,No,5.0,5.0,You do not care about,5-7 hours,5.0,9.0,6.0,6.0,8.0,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,Very High,High,High,Moderate,High,Moderate,Moderate,Very High,Moderate,,,,,,,,,,,,,,2,1.0
39,Female,Second year,Science,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,5.0,You do not care about,8 hours or more,2.0,8.0,6.0,6.0,5.0,13.0,10.0,11.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,Very High,High,High,Moderate,High,Moderate,Moderate,High,Moderate,,,,,,,,,,,,,,2,1.0
40,Female,Second year,Science,26-33,At home,Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,2.0,3.0,You do not care about,5-7 hours,3.0,6.0,6.0,6.0,4.0,12.0,11.0,12.0,,,,,,,,,,,,High,High,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,High,High,High,Moderate,High,High,High,Very High,Moderate,,,,,,,,,,,,,,2,1.0
41,Male,Second year,Mathematics,18-25,In the school's library,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,Lack of motivation,2.0,Yes,3.0,3.0,Negatively,5-7 hours,3.0,8.0,6.0,4.0,4.0,12.0,11.0,12.0,,,,,,,Moderate,Moderate,Moderate,Moderate,Very High,High,High,High,Moderate,Low,Moderate,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
42,Female,Second year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing","Online tutorials, Online documents",Yes,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,2.0,5.0,You do not care about,5-7 hours,1.0,7.0,5.0,6.0,8.0,12.0,11.0,12.0,,,,,,,,,,,,Moderate,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,High,High,High,Moderate,High,Moderate,High,High,Moderate,,,,,,,,,,,,,,2,1.0
43,Female,Second year,Mathematics,10-17,In the school's library,In peer,Learning by practicing;Online courses and tutorials,Online documents;YouTube videos,No,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,Lack of time,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,No,5.0,5.0,Positively,5-7 hours,4.0,6.0,6.0,7.0,7.0,12.0,12.0,12.0,,,,,,,High,High,Moderate,Moderate,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
44,Male,Second year,Technical maths,26-33,In your room (dorms),Alone,Learning by practicing;Online courses and tutorials,Books;YouTube videos,No,Teachers' teaching method,Lack of time,ما,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,5.0,5.0,Positively,5-7 hours,2.0,7.0,7.0,8.0,5.0,12.0,12.0,12.0,,,,,,,Moderate,Moderate,High,High,High,Moderate,High,High,Moderate,Moderate,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
45,Female,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Private life problems,Teaching language,Bad quality of internet,"social media addiction , health problems, not being able to work on a team in group projects",2.0,Yes,2.0,3.0,You do not care about,5-7 hours,1.0,7.0,2.0,5.0,2.0,12.0,12.0,12.0,11.0,9.0,10.0,10.0,13.0,12.0,Moderate,Moderate,Low,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Moderate,High,Moderate,High,Very High,High,Moderate,Very Low,Very High,Moderate,Low,Very Low,Moderate,Very Low,Moderate,Moderate,Low,Very Low,Moderate,Low,Very Low,Low,Very High,Moderate,Very High,Low,High,Very High,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,4,3.0
46,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating,2.0,Yes,1.0,1.0,You do not care about,8 hours or more,1.0,9.0,5.0,6.0,7.0,12.0,12.0,12.0,,,,,,,Moderate,Low,High,Very High,Moderate,Very Low,High,Very High,Very High,High,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
47,Female,Second year,Science,18-25,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents,Yes,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of energy,3.0,No,4.0,5.0,You do not care about,5-7 hours,1.0,7.0,6.0,6.0,6.0,12.0,13.0,12.0,,,,,,,Moderate,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
48,Male,Third year,Mathematics,10-17,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents;YouTube videos;Chat GPT,No,Pressure,Teaching language,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,Yes,3.0,3.0,You do not care about,5-7 hours,3.0,6.0,7.0,7.0,8.0,12.0,13.0,12.0,,,,,,,Moderate,High,Moderate,,Moderate,Moderate,Moderate,,Moderate,Moderate,Moderate,,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Moderate,Moderate,Moderate,Low,Moderate,Low,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
49,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Project-based learning, Interactive workshops, Online courses and tutorials","Books, YouTube videos",No,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Pressure,Private life problems,Lack of motivation,3.0,Yes,5.0,5.0,You do not care about,4 hours or less,2.0,3.0,5.0,5.0,5.0,13.0,11.0,12.0,,,,,,,,,,,,High,High,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,Positively,High,High,High,Moderate,High,Moderate,High,High,Moderate,,,,,,,,,,,,,,2,1.0
50,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,3.0,You do not care about,5-7 hours,2.0,9.0,6.0,7.0,7.0,13.0,11.0,12.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,High,High,High,Moderate,Moderate,Moderate,High,High,High,,,,,,,,,,,,,,2,1.0
51,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Interactive workshops","Books, YouTube videos",Yes,Bad quality of internet,Not having a good (powerful) computer,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Lack of motivation,2.0,No,2.0,5.0,You do not care about,5-7 hours,3.0,7.0,3.0,2.0,8.0,13.0,11.0,12.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,High,High,Very High,Moderate,High,Moderate,High,Very High,High,,,,,,,,,,,,,,2,1.0
52,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,Private life problems,Lack of motivation,2.0,Yes,5.0,5.0,You do not care about,5-7 hours,3.0,5.0,5.0,4.0,6.0,13.0,11.0,12.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,Positively,High,High,High,High,High,High,High,High,Moderate,,,,,,,,,,,,,,2,1.0
53,Male,Second year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,2.0,4.0,You do not care about,5-7 hours,2.0,8.0,6.0,7.0,7.0,13.0,11.0,12.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,Very High,High,High,Moderate,High,High,High,Very High,Moderate,,,,,,,,,,,,,,2,1.0
54,Male,Second year,Mathematics,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, YouTube videos",No,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,4.0,5.0,You do not care about,5-7 hours,2.0,9.0,4.0,5.0,7.0,13.0,11.0,12.0,,,,,,,,,,,,Moderate,Moderate,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,Very High,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,,,,,,,,,,,,,,2,1.0
55,Female,Second year,Science,26-33,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Teaching language,Lack of motivation,3.0,No,2.0,3.0,Negatively,8 hours or more,2.0,7.0,5.0,3.0,4.0,13.0,11.0,12.0,,,,,,,Moderate,Moderate,Low,High,High,Moderate,Moderate,Moderate,Low,Low,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
56,Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Not having a good (powerful) computer,Teachers' teaching method,Lack of time,Private life problems,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Lack of motivation,2.0,No,1.0,1.0,Positively,8 hours or more,3.0,8.0,7.0,9.0,8.0,13.0,11.0,12.0,,,,,,,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
57,Male,Second year,Mathematics,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Pressure,Private life problems,Teachers' teaching method,Teaching language,Lack of motivation,3.0,No,5.0,5.0,Positively,5-7 hours,3.0,8.0,7.0,6.0,5.0,13.0,11.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
58,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,3.0,5.0,Positively,5-7 hours,3.0,6.0,7.0,7.0,6.0,13.0,12.0,12.0,12.0,10.0,11.0,,,,Moderate,High,Moderate,Moderate,High,High,High,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
59,Male,Second year,Mathematics,More than 41 hours,At home,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,3.0,4.0,You do not care about,8 hours or more,3.0,7.0,7.0,8.0,5.0,13.0,12.0,12.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,High,High,High,High,High,Moderate,High,Very High,Moderate,,,,,,,,,,,,,,2,1.0
60,Female,Second year,Mathematics,26-33,In the school's library,Alone,Learning by practicing;Mind mapping and visualization,Books;Online documents;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,The lack of الشغف,4.0,Yes,5.0,4.0,Positively,8 hours or more,5.0,8.0,7.0,8.0,8.0,13.0,12.0,12.0,,,,,,,High,Moderate,Very High,High,Very High,Very High,Moderate,Very High,Moderate,Low,Moderate,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
61,Female,Second year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing,"Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Lack of time,Teaching language,Private life problems,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,5.0,4.0,You do not care about,5-7 hours,1.0,8.0,3.0,3.0,6.0,14.0,10.0,12.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,Positively,High,High,High,High,High,Moderate,High,Very High,Low,,,,,,,,,,,,,,2,1.0
62,Female,Second year,Science,34-41,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,Yes,5.0,5.0,You do not care about,5-7 hours,1.0,8.0,5.0,5.0,8.0,14.0,10.0,12.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,Very High,High,High,High,High,Moderate,High,High,Moderate,,,,,,,,,,,,,,2,1.0
